ID,时间戳,事件类型,参数1,参数2,参数3,参数4,系统状态,系统总状态位,单体总故障,pack总故障,簇总故障,总电压,预充电压,总电流,簇显示SOC,簇SOH,簇SOE,充电最大允许功率,放电最大允许功率,充电效率,单次充电电量,单次放电电量,累计充电电量,累计放电电量,簇真实SOC,充电SOP,放电SOP,单次充电容量,单次放电容量,累计充电容量,累计放电容量,电压越限次数,温度越限次数,故障保护次数,绝缘电阻+,绝缘电阻-,最高单体电压数据,最高单体电压编号,最低单体电压数据,最低单体电压编号,单体平均电压,最高单体温度数据,最高单体温度编号,最低单体温度数据,最低单体温度编号,单体平均温度,最高单体soc数据,最高单体soc编号,最低单体soc数据,最低单体soc编号,单体平均SOC,最高电池包电压数据,最高电池包电压编号,最低电池包电压数据,最低电池包电压编号,包平均电压,最高动力接插件温度数据,最高动力接插件温度编号,最低动力接插件温度数据,最低动力接插件温度编号,动力接插件平均温度,接触器状态,系统DI输入状态,系统高边驱动状态,配置1,配置2,特殊功能使能位配置,本机IP,本机MAC地址,事件记录版本号,BOOT版本号,软件版本号,硬件版本号,SOX算法版本号,BCU默认参数版本号,CRC16,CRC校验结果
"1","2000-1-22-23:40:50","控制参数复位","复位动作:复位实时保存数据;复位出厂校准参数;复位事件记录标志;复位系统运行时间;复位配置参数","/","/","/","系统状态:静置,系统模拟量故障等级:严重","静置;禁充禁放;告警;充电功率锁存;放电功率锁存;脱离母线指令;非运维模式;正常模式;初始化完成","单体电压欠压-严重,单体充电欠温-严重,单体放电欠温-严重","pack电压欠压-严重","单体温度差过大-严重,簇欠压-严重,无故障","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","8.10kWh","0kWh","0kWh","41.0%","0.0%","0.0%","23.58Ah","10.07Ah","0Ah","0Ah","0","0","0","65535","65535","1.685V","51","1.671V","109","1.679V","39.0℃","6","-38.4℃","109","3.8℃","41.0%","1","41.0%","1","41.0%","94.0V","5","93.6V","1","93.7V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:0; DI3:0; DI4:1; DI5:0; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:0; DO3:0; DO4:1; DO5:0; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:关闭;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.209","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","36397","通过"
"2","2000-1-22-23:40:50","保留故障触发-故障汇总","故障类型:保留故障汇总点","故障动作:触发","/","/","系统状态:静置,系统模拟量故障等级:严重","静置;禁充禁放;告警;充电功率锁存;放电功率锁存;脱离母线指令;非运维模式;正常模式;初始化完成","单体电压欠压-严重,单体充电欠温-严重,单体放电欠温-严重","pack电压欠压-严重","单体温度差过大-严重,簇欠压-严重,无故障","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","8.10kWh","0kWh","0kWh","41.0%","0.0%","0.0%","23.58Ah","10.07Ah","0Ah","0Ah","0","0","0","65535","65535","1.685V","51","1.671V","109","1.679V","39.0℃","6","-38.4℃","109","3.8℃","41.0%","1","41.0%","1","41.0%","94.0V","5","93.6V","1","93.7V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:1; DI2:0; DI3:0; DI4:1; DI5:0; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:1; DO2:0; DO3:0; DO4:1; DO5:0; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:关闭;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.209","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","40017","通过"
"3","2000-1-22-23:40:56","系统状态切换","上一次系统状态:系统状态:静置,系统模拟量故障等级:无故障","当前系统状态:系统状态:开路,系统模拟量故障等级:无故障","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;充电功率锁存;放电功率锁存;脱离母线指令;非运维模式;正常模式;初始化完成","单体电压欠压-严重,单体充电欠温-严重,单体放电欠温-严重","pack电压欠压-严重","单体温度差过大-严重,簇欠压-严重,无故障","804.6V","804.4V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","8.10kWh","0kWh","0kWh","41.0%","0.0%","0.0%","23.58Ah","10.07Ah","0Ah","0Ah","0","0","0","65535","65535","1.686V","51","1.672V","109","1.679V","39.0℃","6","-38.4℃","109","3.8℃","41.0%","1","41.0%","1","41.0%","94.0V","5","93.6V","4","93.8V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:0; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:0; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:关闭;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.209","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","18263","通过"
"4","2000-1-22-23:41:14","事件记录异常复位","异常复位原因:索引信息异常复位","/","/","/","系统状态:开路,系统模拟量故障等级:严重","禁充禁放;告警;充电功率锁存;放电功率锁存;脱离母线指令;非运维模式;正常模式;初始化完成","单体电压欠压-严重,单体充电欠温-严重,单体放电欠温-严重","pack电压欠压-严重","单体温度差过大-严重,簇欠压-严重,无故障","804.6V","0.0V","0.0A","0.0%","100.0%","0.0%","0.0kW","0.0kW","100.00%","18.97kWh","8.10kWh","0kWh","0kWh","41.0%","0.0%","0.0%","23.58Ah","10.07Ah","0Ah","0Ah","0","0","0","65535","65535","1.685V","51","1.672V","109","1.679V","39.0℃","6","-38.4℃","109","3.8℃","41.0%","1","41.0%","1","41.0%","94.0V","5","93.6V","1","93.7V","39.0℃","4","38.7℃","7","38.8℃","主正接触器:断开; 主负接触器:断开; 预充接触器:断开","DI1:0; DI2:0; DI3:0; DI4:1; DI5:0; DI6:0; DI7:0; DI8:0; DI9:0; DI10:0; DI11:0","DO1:0; DO2:0; DO3:0; DO4:1; DO5:0; DO6:0; DO7:0; DO8:0; 地址自适应反馈:0","事件记录模式:简约模式;内测模式:关闭;均衡模式:自动均衡;运维模式:非运维模式;PCS类型:双一力PCS-01","制冷设备类型:英维克;除湿机设备类型:除湿机-01;消防设备类型:三沃力源;禁止使能簇配置:启用","簇压模式:高压采集模式;动力接插件:存在;BMU温度数据类型:高精度模式","192.168.10.209","84-39-141-160-51-221","EVE.0.1-250507","CHS-BOOT-V2.2 ","CF2HS01-251031","HV2.0.0-250909","0x12D","BCU-Param-V1.0","62806","通过"
"5","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x100","寄存器长度:24","/","/","0xFA","0xFA,0xFA","0xFA","0xFA","0xFA,0xFA,0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0xF0F0","通过"
"6","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x118","寄存器长度:24","/","/","0xFA","0xFA,0xFA","0xFA","0xFA","0xFA,0xFA,0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x28C9","通过"
"7","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x130","寄存器长度:24","/","/","0xFA","0xFA,0xFA","0xFA","0xFA","0xFA,0xFA,0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x81","通过"
"8","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x148","寄存器长度:24","/","/","0xFA","0xFA,0xFA","0xFA","0xFA","0xFA,0xFA,0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x7859","通过"
"9","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x160","寄存器长度:24","/","/","0xFA","0xFA,0xFA","0xFA","0xFA","0xFA,0xFA,0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA","0xFA,0xFA","0xFA,0xFA","0xFA,0x0","0x0,0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0,0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x5011","通过"
"10","2000-1-22-23:41:41","单体校准参数下设","起始地址:0x1100","寄存器长度:48","/","/","0x640","0x640,0x640","0x640","0x640","0x640,0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640,0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x640","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0,0x0","0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x0","0x0,0x0,0x0,0x0,0x0,0x0,0x0","0x668A","通过"
