文件分类	中文部分	英文部分	备注
			注意：此文档根据langEn和langZh生成
AdpatAddress.js文件			
	第一堆	Onw_Block	One_Block
	第二堆	Two_Block	
	地址自适应	Address adaptive	
	BCU起始地址	BCU Start address	
	地址自适应的数量	Number of addresses adaptive	
	备注:BCU数量同电池簇数	Note: The number of BCU is the same as the number of battery clusters	可以同义替换Rack
	Bcu地址	Bcu address	BCU address
	Bmu起始地址	Bmu start address	BMU start address
	备注:BMU分配数量同BMU个数	Note: The number of BMUs allocated is the same as the number of BMUs	
	开始	Begin	
			
AirConditionPara.js文件			
	空调信息	Air Conditioning info	
	小型英维克	Small-ENVICOOL	大型BAU控制  小型BCU控制，可以解析详细一些
	小型柯诺威	Small-KELVIN	
	电芯最大温度	CellsMax Temp	
	电芯最小温度	CellsMin Temp	
	电芯平均温度	Cells Average Temp	
	制冷点	Cooling Point	
	加热点	Heating Point	
	制冷回差	Cooling Return Difference	
	加热回差	Heating Return Difference	
	出水温度	OutWater Temp	Outlet Water Temp
	回水温度	BackWater Temp	Return Water Temp
	排气温度	Emission gas Temp	
	环境温度	Environment Temp	Ambient Temp
	进水压力	EnterWater Pressure	Inlet Water Pressure
	出水压力	OutWater Pressure	Outlet Water Pressure
	水泵当前转速	Water Pump Speed	
	水泵状态	WaterPump	WaterPump State
	心跳	Heartbeat	
	压缩机状态	Compressor	Compressor State
	当前系统模式	NowSystem	System Mode
	系统开关机	SystemPower	SystemPower ON/OFF
	出水高温	OutWaterHighTemp	Outlet Water High Temp
	出水低温	OutWaterLowTemp	Outlet Water Low Temp
	出水温感故障	OutWater Temperature Sensor Failure	Outlet Water Temp Sensor Failure
	回水温感故障	BackWater Temperature Sensor Failure	Outlet Water Temp Sensor Failure
	变频器通讯故障	Variable-frequency Communication Drive Fault	Variable-frequency Drive Comm Fault
	系统高压锁定	System High voltage Lock	System High Presure Lock
	系统低压锁定	System Low voltage Lock	System Low Presure Lock
	排气温度过高锁定	ExhaustHight	重新翻译--Exhaust Temp too High Lock,温度用缩写
	变频器过流锁定	Variable-frequency Drive OverCurrent Lock	
	变频器过温锁定	Variable-frequency Drive OverTemp Lock	
	变频器过压锁定	Variable-frequency Drive OverVoltage Lock	
	变频器欠压锁定	Variable-frequency Drive LowVoltage Lock	
	变频器缺相锁定	Frequency Phase Loss Lock	
	变频器其他故障锁定	Variable-frequency Drive Other FaultLock	Variable-frequency Drive Other Fault Lock
	补水告警	HydrationAlarms	
	系统压力过高告警	High System Voltage Alarms	High System Pressure Alarms
	出水压力过高告警	High OutWater Voltage Alarms	High Outlet Water Voltage Alarms
	上一簇	lastCluster	
	下一簇	nextCluster	
	备注: 0-正常; 1-告警; 255-告警未使能	Note: 0- Normal 1- Alarm 255- Alarm is not enabled	Note: 0- Normal 1- Alarm 255- Alarm disabled
	模式	Mode	
	设定温度	SetTemperature	Set Temp
	进水温度	Inlet Water Temper	Inlet Water Temp
	出水温度	Outlet Water Temper	Outlet Water Temp
	环境温度	Temperature	Ambient Temp
	排气温度	ExhaustTemper	ExhaustTemp
	进水压力	InletPressure	
	出水压力	OutletPressure	
	吸气压力	SuctionPressure	
	排气压力	ExhaustPressure	
	水泵转速	WaterPumpSpeed	
	风机转速	FanSpeed	
	压缩机转速	CompressorSpeed	
	心跳	HeartBeat	
	软件版本	SoftwareVersion	
	故障等级	Failure_Level	
	高压压力过高	Over Pressure too high	
	低压压力过低	Low Pressure too low	
	水泵故障	WaterPumpFault	
	PTC过温故障	PTCHigh TempFault	PTC OverTemp Fault
	风扇故障	FanFault	
	出水温度传感器故障	Out Water temperature sensor Fault	Outlet Water Temp Sensor Fault
	进水温度传感器故障	Enter Water temperature sensor Fault	Inlet Water Temp Sensor Fault
	环境温度传感器故障	Envrion temperature sensor Fault	Ambient Temp Sensor Fault
	高压压力开关故障	High Press Switch Fault	High Pressure Switch Fault
	进水压力传感器故障	Enlet Water Press sensor Fault	Inlet Water Pressure Sensor Fault
	出水压力传感器故障	OutWater Press sensor Fault	Outlet Water Pressure Sensor Fault
	高压压力传感器故障	High Press sensor Fault	High Pressure Sensor Fault
	低压压力传感器故障	Low Press sensor Fault	Low Pressure Sensor Fault
	压缩机通信故障	Compressor Commnicate Fault	Compressor Comm Fault
	压缩机控制器故障	Compressor Control Fault	
	BMS通信丢失故障	BMS CommunLose Fault	BMS Comm Lose Fault
	进水压力过低故障	EnterWater Pressure Low Fault	Inlet Water Pressure Low Fault
	出水压力过高故障	OutWater Pressure High Fault	Outlet Water Pressure High Fault
	高压继电器1故障	High Pressure Relay1 Fault	
	高压继电器2故障	High Pressure Relay2 Fault	
	ACDC1过压故障	ADC1 High Press Fault	电压：ADC1 OverVoltage Fault
	ACDC1欠压故障	ADC1 Low Press Fault	ADC1 UnderVoltage Fault
	ACDC2欠压故障	ADC2 Low Press Fault	ADC2 UnderVoltage Fault
	ACDC2过压故障	ADC2 High Press Fault	ADC2 OverVoltage  Fault
	水阀故障	Water Valve Fault	
	排气温度传感器故障	Venting Temp sensor Fault	 Exhaust Temp Sensor Fault
	水压差过低故障	Water PressLow Fault	Water Pressure Difference Low Fault
	水压差过高故障	Water Press Difference High Fault	Water Pressure Difference High Fault
	水阀通讯故障	Water Valve CommunFault	Water Valve Comm Fault
	上一簇	lastCluster	
	下一簇	nextCluster	
	备注: 0-无故障; 1-1级故障(最高) 水冷机整机停机; 2-2级故障 制冷系统停机(压缩机、冷凝风机停止) ; 3-3级故障(最低) 水冷机继续运行;	Note: 0- No fault Level 1-1 fault (highest) The water cooler stops the whole machine Level 2-2 fault The cooling system stops (the compressor and condensate fan stop) Level 3-3 fault (lowest) The water cooler continues to run.	Note: 0- No fault; Level 1-1 fault (highest) The Liquid-cooling Unit shutdown; Level 2-2 fault The cooling system shutdown(the compressor and condensate fan stop); Level 3-3 fault (lowest) The Liquid-cooling Unit continues running.
	实际值	Actual_value	Actual Value
	备注	Notes	
	下发参数	SetPara	
	上一堆	lastBlock	
	下一堆	nextBlock	
	上一台	lastCooler	last Cooling Unit
	下一台	nextCooler	next Cooling Unit
	空调参数	Air Conditioning parameter	
	大型柯诺威	Large-KELVIN	
	大型英维克	Large-Envicool	
	可设	settable	
	模式	Mode	
	待机	standby mode	
	制冷	Cool	Cooling
	加热	Hot	Heating
	自循环	self-loop	Self-Circulation
	设定温度	SetTemperature	SetTemp
	进水温度	InletTemper	InletTemp
	出水温度	OutletTemper	OutletTemp
	环境温度	EnvironmentTemper	Ambient Temp
	排气温度	ExhaustTemper1	ExhaustTemp
	进水压力	InletPressure	
	出水压力	OutletPressure	
	吸气压力	SuctionPressure1	SuctionPressure
	排气压力	ExhaustPressure1	ExhaustPressure
	水泵转速	WaterPumpSpeed	
	风机转速	FanSpeed	
	压缩机转速	CompressorSpeed1	CompressorSpeed
	心跳	HeartBeat	
	软件版本	SoftwareVersion	
	故障等级	ErrorLevel	FaultLevel
	吸气温度1	SuctionTemper1	SuctionTemp1
	吸气温度2	SuctionTemper2	SuctionTemp2
	排气温度2	ExhaustTemper2	ExhaustTemp2
	吸气压力2	SuctionPressure2	
	排气压力2	ExhaustPressurer2	ExhaustPressure2
	压缩机转速2	CompressorSpeed2	
	运行制冷温度	RunCoolTemperature	Operating Cooling Temp
	运行制热温度	RunHighTemperature	Operating Heating Temp
	非运行制冷温度	SuspendCoolTemperature	Non-Operating Cooling Temp
	非运行制热温度	SuspendHeighTemperature	Non-Operating Heating Temp
	下发参数	SetPara	
	读取参数	GetPara	
	水泵运行状态	Pump operating condition	Pump Operating State
	1#压缩机运行状态	1#Compressor operating condition	1#Compressor Operating State
	2#压缩机运行状态	2#Compressor operating condition	2#Compressor Operating State
	出水温度	OutWaterTemper	Outlet Water Temp
	回水温度	BackWaterTempr	Return Water Temp
	出水压力	OutWater pressure	Outlet Water pressure
